feature,L2_coef,Unregularized_coef
age_numeric,0.05085118713103219,0.05147239130109827
time_in_hospital,0.017381862363559382,0.018199603563081992
num_lab_procedures,0.007141687296139301,0.006859404213258263
num_procedures,-0.028923764642640425,-0.02932714390713782
num_medications,0.053368076465511255,0.05349125673112472
number_outpatient,-0.0033793001283896574,-0.0027899447380582082
number_emergency,0.07764782988139655,0.07766257282384609
number_inpatient,0.365707307344206,0.3656673691215398
number_diagnoses,0.09979506460986541,0.09963531670779412
race_Asian,0.02916910666851698,0.026051119995838697
race_Caucasian,-0.014812717983799515,-0.016623182731898025
race_Hispanic,-0.03060260870776875,-0.03033267130745459
race_Other,-0.08269625011633287,-0.07422407312385135
race_Unknown,-0.13351849386471418,-0.13270193580397607
gender_Male,0.008957555105813572,0.0074624934522951455
admission_type_id_2,0.007310767476289759,0.007507173093025421
admission_type_id_3,-0.08947407288340674,-0.08700078164397806
admission_type_id_4,0.20529377941195137,0.5681586975478049
admission_type_id_5,-0.13712086113886598,-0.13809043771374574
admission_type_id_6,0.20499891979160384,0.20254599285229719
admission_type_id_7,-0.8069778801451742,-2.302869269155201
admission_type_id_8,-0.006295658998299389,-0.0040568542808953004
discharge_disposition_id_10,-0.24305067906913524,-0.7831772463488929
discharge_disposition_id_12,1.019715778084593,2.8052434315461205
discharge_disposition_id_13,-0.8738630435463619,-0.9151138230024386
discharge_disposition_id_14,-0.5959389808178649,-0.6161733925017293
discharge_disposition_id_15,2.1910186046279176,1.7668297237717796
discharge_disposition_id_16,-0.5121943599312839,-1.5213298708566396
discharge_disposition_id_17,-0.5660176167763754,-1.6620460986956183
discharge_disposition_id_18,0.4150093251631835,0.41747609880101916
discharge_disposition_id_2,0.5435626788950623,0.5365494363307701
discharge_disposition_id_22,1.3898117026774743,1.38685808549405
discharge_disposition_id_23,-0.5254826875148308,-0.5101508007769529
discharge_disposition_id_24,-0.42266342571482834,-0.6212492592602353
discharge_disposition_id_25,-0.07821243146533892,-0.08489687965691262
discharge_disposition_id_27,-0.2261563852267934,-0.7260412103468605
discharge_disposition_id_28,1.5595194457090045,1.7626991315892315
discharge_disposition_id_3,0.4066461836707526,0.40292524580940264
discharge_disposition_id_4,0.30027375291020975,0.31894911174084484
discharge_disposition_id_5,1.061986832197311,1.0664426092539103
discharge_disposition_id_6,0.19444623596667399,0.19424575716043332
discharge_disposition_id_7,0.29369854790004246,0.2771993480084157
discharge_disposition_id_8,0.5317061988420814,0.36720218467554
discharge_disposition_id_9,1.2459148626150105,2.419206760904446
admission_source_id_10,-0.3649436844228975,-1.12677870304754
admission_source_id_11,-0.10656027207246387,-0.352519811061657
admission_source_id_13,-0.05393440797424435,-0.18086029047678986
admission_source_id_14,-0.10220786921944416,-0.34710952614523694
admission_source_id_17,-0.2893146292735533,-0.2830584271612885
admission_source_id_2,-0.0927648155501868,-0.0944729282318244
admission_source_id_20,0.3734699586886306,0.37712409837488714
admission_source_id_22,-0.09147392021628593,-0.23803436689719357
admission_source_id_25,-0.05270725541091238,-0.176266728506422
admission_source_id_3,0.27147639502299636,0.2923491547568863
admission_source_id_4,-0.2488815409389296,-0.24130526639340644
admission_source_id_5,-0.16742694078086065,-0.1630625368963218
admission_source_id_6,-0.10870735345665311,-0.11092768328526584
admission_source_id_7,-0.03471286817106148,-0.029672834310170343
admission_source_id_8,-0.10533989350081419,-0.27815272248739636
admission_source_id_9,-0.029382423996327862,-0.01998240002106609
medical_specialty_grouped_Emergency/Trauma,0.08568124608435207,0.07349324538887386
medical_specialty_grouped_Family/GeneralPractice,0.36769077884157686,0.362212254501812
medical_specialty_grouped_InternalMedicine,0.2823911940994802,0.27623573891212266
medical_specialty_grouped_Missing,0.26438617108331414,0.25870644289718325
medical_specialty_grouped_Nephrology,0.4903797245434394,0.489456245479023
medical_specialty_grouped_Orthopedics,0.3509874879380497,0.33994277745351115
medical_specialty_grouped_Orthopedics-Reconstructive,-0.09732491755059922,-0.09765276169166723
medical_specialty_grouped_Other,0.28780920037349733,0.28452810566248776
medical_specialty_grouped_Surgery-General,0.26322437457500386,0.2677825612457644
diag_1_group_Diabetes,-0.019364393516531735,-0.014820413200783105
diag_1_group_Digestive,-0.13698273794465957,-0.13872063169287768
diag_1_group_Genitourinary,-0.13985116189137364,-0.14321831697823972
diag_1_group_Injury,-0.15103929523892753,-0.14944248408374203
diag_1_group_Missing,0.3081310863422387,0.5867000969754703
diag_1_group_Musculoskeletal,-0.31496137562755766,-0.3181945680350732
diag_1_group_Neoplasms,0.005302409597219091,0.010589214886788541
diag_1_group_Other,-0.10324310838497475,-0.10427608030427891
diag_1_group_Respiratory,-0.2652214300890448,-0.268104153652723
max_glu_serum_>300,-0.1307305217495845,-0.13148569760010112
max_glu_serum_Norm,-0.04610733775160473,-0.04142616600197384
max_glu_serum_Not tested,-0.2821651849249945,-0.2793321012179211
A1Cresult_>8,-0.012003812063065201,-0.01879989580043289
A1Cresult_Norm,0.03332837965549435,0.04607020576012513
A1Cresult_Not tested,0.13397999786215767,0.13496576370108423
change_No,0.00700348540862516,0.0014904945354236707
diabetesMed_Yes,0.21666688898353081,0.22076290029104795
metformin_No,-0.11302647700943666,-0.09143543542961256
metformin_Steady,-0.24773363265389095,-0.22811831390313203
metformin_Up,-0.2883601626887886,-0.26991375865187767
repaglinide_No,0.19132477908018564,0.6876414241730798
repaglinide_Steady,0.2854025042931819,0.7832904395535228
repaglinide_Up,0.44873696038680155,0.9690473075039927
nateglinide_No,0.11127564283593551,0.01704003469221555
nateglinide_Steady,0.1687736718092553,0.06554387968632917
nateglinide_Up,-0.6057248247668146,-1.3299583701999638
glimepiride_No,-0.12931080083209676,-0.13875618987444371
glimepiride_Steady,-0.2523885964441506,-0.26206944646034097
glimepiride_Up,0.013737213604518407,0.004200758946668485
glipizide_No,-0.37630530528897255,-0.37488925380191435
glipizide_Steady,-0.36045549998326204,-0.3621953800004375
glipizide_Up,-0.20290764839017267,-0.2140194984549036
glyburide_No,0.2268183621229279,0.245210578622511
glyburide_Steady,0.21062528428372196,0.2230859027237906
glyburide_Up,0.12324831919779966,0.1426593578393754
pioglitazone_No,-0.3762736813362621,-0.5138746129619691
pioglitazone_Steady,-0.4615036445823218,-0.5994125146447197
pioglitazone_Up,-0.4579114785943285,-0.6261994092970399
rosiglitazone_No,0.5985105012950559,1.232989395625767
rosiglitazone_Steady,0.5547637091667608,1.1915537368656761
rosiglitazone_Up,0.35859168715711587,1.0288966299677567
acarbose_Steady,-0.3705819980442364,-0.3870373154048048
