model,roc_auc,accuracy,precision,recall,f1,brier_score,TN,FP,FN,TP
L2-Regularized Logistic Regression,0.6549929897780377,0.6730298335915247,0.18096093399191737,0.5302631578947369,0.2698359558085035,0.22522767092010493,12259,5472,1071,1209
Unregularized Logistic Regression,0.6542111546137352,0.6726800259857079,0.17981403719256148,0.5258771929824562,0.2679928475637014,0.2252254379221364,12262,5469,1081,1199
